                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8978,                 1.8773,                 1.1843,                0.94807,                0.19753,                0.52679,                0.31096,                 1.3834,                 2.2926,                0.99967,                0.00065,                0.00065,                0.00065
                      2,                 1.7242,                 1.0058,                 1.1031,                0.66684,                0.38326,                0.48051,                0.28958,                 1.3406,                  1.683,                 1.0166,              0.0012515,              0.0012515,              0.0012515
                      3,                 1.6865,                0.93975,                  1.095,                0.72552,                0.60023,                0.63145,                0.37443,                  1.367,                 1.0866,                 1.0544,               0.001787,               0.001787,               0.001787
                      4,                 1.6624,                 0.9018,                 1.0984,                0.78054,                0.60194,                0.68069,                0.39645,                 1.3653,                0.93802,                 1.0484,               0.001703,               0.001703,               0.001703
                      5,                  1.624,                0.85783,                 1.0825,                  0.849,                0.70672,                 0.7889,                0.48812,                 1.2265,                0.78396,                0.98652,               0.001604,               0.001604,               0.001604
                      6,                 1.5958,                0.83316,                 1.0737,                0.84198,                0.72608,                0.80432,                0.49142,                 1.2165,                0.68842,                0.98111,               0.001505,               0.001505,               0.001505
                      7,                 1.5691,                0.80981,                 1.0674,                0.88278,                0.73336,                0.82948,                0.51344,                 1.2084,                 0.6539,                0.97523,               0.001406,               0.001406,               0.001406
                      8,                 1.5534,                0.79533,                 1.0649,                0.89266,                0.75301,                0.83681,                0.51249,                 1.2453,                0.65592,                0.99224,               0.001307,               0.001307,               0.001307
                      9,                 1.5261,                0.77699,                 1.0545,                0.87002,                0.74203,                0.82756,                0.52737,                 1.1898,                0.61455,                0.98456,               0.001208,               0.001208,               0.001208
                     10,                 1.5127,                0.75965,                 1.0545,                0.89248,                0.73271,                0.82692,                0.50171,                 1.2475,                0.62233,                0.98283,               0.001109,               0.001109,               0.001109
                     11,                 1.3561,                0.67555,                 1.0134,                0.89444,                0.75171,                0.83438,                0.51237,                 1.2219,                0.62795,                 0.9907,                0.00101,                0.00101,                0.00101
                     12,                 1.3101,                0.64928,                 1.0027,                0.87497,                0.78189,                0.86086,                0.55308,                 1.1455,                0.61596,                 0.9629,               0.000911,               0.000911,               0.000911
                     13,                 1.2749,                0.63218,                0.99146,                0.88946,                0.75285,                0.83512,                0.50159,                 1.2567,                0.59053,                 0.9741,               0.000812,               0.000812,               0.000812
                     14,                 1.2384,                0.61854,                0.98256,                0.88503,                0.79349,                0.87882,                   0.58,                 1.0928,                0.55055,                0.95009,               0.000713,               0.000713,               0.000713
                     15,                 1.2158,                0.60517,                0.97648,                0.88485,                0.78645,                0.86594,                0.55864,                 1.1344,                 0.5594,                0.95457,               0.000614,               0.000614,               0.000614
                     16,                 1.1932,                0.60091,                0.97094,                 0.8911,                0.78754,                0.87982,                0.58809,                 1.0492,                0.53291,                0.94229,               0.000515,               0.000515,               0.000515
                     17,                 1.1674,                0.58787,                0.96607,                0.88594,                0.81392,                0.88614,                0.59403,                 1.0389,                0.52911,                0.93785,               0.000416,               0.000416,               0.000416
                     18,                 1.1608,                0.58241,                 0.9614,                0.89806,                0.79771,                  0.888,                0.59702,                 1.0396,                0.51433,                0.94256,               0.000317,               0.000317,               0.000317
                     19,                 1.1135,                0.56949,                0.94931,                 0.9265,                0.78242,                0.89455,                0.59803,                 1.0477,                0.50873,                0.94103,               0.000218,               0.000218,               0.000218
                     20,                  1.107,                0.55736,                0.94886,                0.92384,                0.78748,                 0.8944,                0.60304,                 1.0213,                0.50034,                0.93669,               0.000119,               0.000119,               0.000119
